LGA,State,Country,lon,lat
Konduga,Borno State,Nigeria,13.4196641,11.6549207
Konshisha,Benue State,Nigeria,8.5721016,7.0996526
Kontagora,Niger State,Nigeria,5.4699173,10.407146
Kosofe,Lagos State,Nigeria,3.379308,6.5690802
Kaugama,Jigawa State,Nigeria,9.7372027,12.4709969
Kubau,Kaduna State,Nigeria,8.1229329,10.7724364
Kudan,Kaduna State,Nigeria,7.7634019,11.2643007
Kuje,Federal Capital Territory,Nigeria,7.2437105,8.8763514
Kukawa,Borno State,Nigeria,13.5639377,12.9229652
Kumbotso,Kano State,Nigeria,8.5144352,11.9284828
Kumi,Taraba State,Nigeria,10.7097867,7.2249628
Kunchi,Kano State,Nigeria,8.2732659,12.5029442
Kura,Kano State,Nigeria,8.4239055,11.7701438
Kurfi,Katsina State,Nigeria,7.4841222,12.6685608
Kusada,Katsina State,Nigeria,7.9769968,12.4621016
Kwali,Federal Capital Territory,Nigeria,7.0605998,8.8469761
Kwande,Benue State,Nigeria,9.456155,6.9125552
Kwami,Gombe State,Nigeria,11.2523792,10.5085436
Kware,Sokoto State,Nigeria,5.2645259,13.2195408
Kwaya Kusar,Borno State,Nigeria,11.8435568,10.5311068
Lafia,Nasarawa State,Nigeria,8.5226706,8.5060115
Lagelu,Oyo State,Nigeria,4.0491077,7.484551
Lagos Island,Lagos State,Nigeria,3.4245984,6.4548791
